序号,南北纬,度数,东西经,度数,时间,日期,速率,海拔
013238,N,11141.856,E,012.2,013238,100517,253.6,1108
013239,N,11141.852,E,011.3,013239,100517,254.3,1106
013239,N,11141.852,E,011.3,013239,100517,254.3,1106
013241,N,11141.837,E,012.3,013241,100517,252.0,1181
013242,N,11141.830,E,012.2,013242,100517,255.4,1199
013243,N,11141.826,E,014.2,013243,100517,257.0,1195
013244,N,11141.821,E,014.5,013244,100517,258.9,1194
013245,N,11141.815,E,014.7,013245,100517,260.2,1192
013246,N,11141.810,E,014.6,013246,100517,259.4,1194
013247,N,11141.806,E,013.9,013247,100517,252.7,1195
013248,N,11141.800,E,014.7,013248,100517,257.7,1196
013249,N,11141.796,E,014.9,013249,100517,259.9,1184
013250,N,11141.791,E,014.5,013250,100517,258.7,1174
013251,N,11141.787,E,012.9,013251,100517,254.0,1167
013252,N,11141.783,E,011.1,013252,100517,254.8,1162
013253,N,11141.779,E,010.7,013253,100517,259.7,1159
013254,N,11141.776,E,009.6,013254,100517,273.7,1151
013255,N,11141.771,E,009.3,013255,100517,298.6,1147
013256,N,11141.769,E,011.0,013256,100517,327.2,1147
013257,N,11141.767,E,013.1,013257,100517,338.5,1147
013258,N,11141.766,E,016.3,013258,100517,341.1,1146
013259,N,11141.764,E,018.5,013259,100517,340.4,1145
013300,N,11141.762,E,020.1,013300,100517,339.9,1144
013301,N,11141.759,E,022.2,013301,100517,339.6,1144
013302,N,11141.757,E,022.7,013302,100517,339.2,1143
013303,N,11141.754,E,023.3,013303,100517,338.7,1142
013304,N,11141.751,E,022.5,013304,100517,339.4,1142
013305,N,11141.748,E,022.2,013305,100517,339.1,1142
013306,N,11141.746,E,021.9,013306,100517,339.9,1142
013307,N,11141.743,E,021.4,013307,100517,340.3,1142
013308,N,11141.741,E,020.6,013308,100517,341.2,1141
013309,N,11141.738,E,018.8,013309,100517,342.0,1142
013310,N,11141.737,E,016.5,013310,100517,342.1,
013311,N,11141.735,E,014.8,013311,100517,342.6,1140
013312,N,11141.734,E,013.2,013312,100517,342.9,1140
013313,N,11141.733,E,011.6,013313,100517,343.2,1139
013314,N,11141.732,E,009.7,013314,100517,343.4,1139
013315,N,11141.731,E,008.0,013315,100517,343.5,1139
013316,N,11141.730,E,007.1,013316,100517,343.4,1140
013317,N,11141.730,E,007.0,013317,100517,343.3,1139
013318,N,11141.729,E,006.7,013318,100517,343.0,1139
013319,N,11141.728,E,005.6,013319,100517,343.0,1138
013320,N,11141.728,E,003.9,013320,100517,338.0,1137
013321,N,11141.727,E,002.4,013321,100517,338.0,1137
013322,N,11141.727,E,001.4,013322,100517,338.0,1136
013323,N,11141.727,E,000.9,013323,100517,338.0,1135
013324,N,11141.727,E,000.9,013324,100517,338.0,1135
013325,N,11141.721,E,001.1,013325,100517,338.0,1132
013326,N,11141.720,E,001.1,013326,100517,338.0,1128
013327,N,11141.721,E,001.0,013327,100517,338.0,1122
013328,N,11141.722,E,001.3,013328,100517,338.0,1119
013329,N,11141.722,E,001.5,013329,100517,338.0,1115
013330,N,11141.723,E,000.0,013330,100517,338.0,1113
013331,N,11141.726,E,000.0,013331,100517,338.0,1101
013332,N,11141.728,E,000.0,013332,100517,338.0,1092
